SPGF,10.2001,46.6249,1857,0.47
SRER,7.597904,47.511552,294,1.275241967
SRHB,7.6244,47.5713,260,1.026745237
SRHE,7.64945,47.58559,279,1.357999032
SRHH,7.65385,47.57975,319,1.070681514
STAF,7.2161,46.8052,650,0.670361416
STAM,7.8625,46.2288,921,0.47
STBO,7.26216,47.8609,240,0.47
STEIN,8.86899,47.66974,540,0.81078472
STFL,6.56289,47.1121,910,0.47
STGK,9.37849,47.424125,673,1.115619882
STIEG,8.65405,47.4978,637,0.494028407
STSP,10.33322,46.62662,1699,1.194275545
STSW,7.4325,46.3451,1826,0.47
SULZ,8.11153,47.52748,650,0.603083242
SVAM,9.526099,46.693377,1227,0.263573849
SVIL,7.88653,46.29225,647,2.879391759
SVIO,7.88033,46.2908,650,0.206728159
SVIP,7.8636,46.3002,697,0.47
SVIT,7.884962,46.289679,651.9,0.233478498
SYVP,6.641752,46.77471,434.1,2.166480105
SZEM,10.1008,46.69971,1618,0.47
SZER,10.09768,46.69749,1471,0.47
SZUF,8.5541,47.4662,467,0.47
SZUZ,8.530235,47.377497,409,0.47
SZWD,7.3706,46.5528,1011,0.47
TORNY,6.95862,46.77365,758,0.389530305
TRAV,7.747,45.51267,990,-0.34376918
TRULL,8.68161,47.6487,525,0.843503168
TUE,9.34732,46.47223,1924,-0.688010865
UBR,10.1071,47.6799,903,0.875205218
VANNI,7.59678,46.21006,1520,0.086603074
VARE,8.77,45.867695,1219,-0.281994047
VDL,9.44956,46.48318,1927,-0.789063813
WALHA,9.1231,47.7528,419,0.64814509
WEIN,8.98586,47.52873,555,0.895692579
WILA,8.90753,47.41465,908,0.886673971
WIMIS,7.62418,46.66488,770,-0.258337134
WTTA,11.6363,47.2638,1764,0.013897267
ZUR,8.58088,47.36921,510,0.467309128
