Lon,Lat,Elev,ampli47
6,47.275,0,0.47
6,47.3,0,0.47
6,47.325,0,0.47
6,47.35,0,0.94
6,47.375,0,0.96
6,47.4,0,0.96
6,47.425,0,0.96
6,47.45,0,0.96
6,47.475,0,0.94
6,47.5,0,0.94
6,47.525,0,1.19
6,47.55,0,0.47
6,47.575,0,0.47
6,47.6,0,0.96
6,47.625,0,0.47
6,47.65,0,0.88
6,47.675,0,0.96
6,47.7,0,0.94
6,47.725,0,0.94
6,47.75,0,0.47
6,47.775,0,0.47
6,47.8,0,0.47
6.025,45.8,0,1.03
6.025,45.825,0,1.03
6.025,45.85,0,0.86
6.025,45.875,0,0.86
6.025,45.9,0,0.86
6.025,45.925,0,0.86
6.025,45.95,0,1.03
6.025,45.975,0,0.86
6.025,46,0,0.86
6.025,46.025,0,0.86
6.025,46.05,0,0.99
6.025,46.075,0,0.86
6.025,46.1,0,0.86
6.025,46.125,0,0.86
6.025,46.15,0,0.94
6.025,46.175,0,0.94
6.025,46.2,0,0.86
6.025,46.225,0,0.86
6.025,46.25,0,0.86
6.025,46.275,0,0.86
6.025,46.3,0,0.86
6.025,46.325,0,0.96
6.025,46.35,0,0.94
6.025,46.375,0,0.93
6.025,46.4,0,0.96
6.025,46.425,0,1.11
6.025,46.45,0,0.96
6.025,46.475,0,0.96
6.025,46.5,0,1.11
6.025,46.525,0,0.94
6.025,46.55,0,0.96
6.025,46.575,0,0.96
6.025,46.6,0,0.96
6.025,46.625,0,1.11
6.025,46.65,0,0.96
6.025,46.675,0,0.96
6.025,46.7,0,0.96
6.025,46.725,0,0.96
6.025,46.75,0,0.96
6.025,46.775,0,1.11
6.025,46.8,0,1.11
6.025,46.825,0,0.96
6.025,46.85,0,0.47
6.025,46.875,0,0.96
6.025,46.9,0,0.47
6.025,46.925,0,0.47
6.025,46.95,0,0.47
6.025,46.975,0,0.47
6.025,47,0,0.96
6.025,47.025,0,0.96
6.025,47.05,0,0.47
6.025,47.075,0,0.47
6.025,47.1,0,0.47
6.025,47.125,0,0.47
6.025,47.15,0,0.47
6.025,47.175,0,0.47
6.025,47.2,0,0.96
6.025,47.225,0,0.47
6.025,47.25,0,0.47
6.025,47.275,0,0.47
6.025,47.3,0,0.47
6.025,47.325,0,0.47
6.025,47.35,0,0.88
6.025,47.375,0,0.96
6.025,47.4,0,0.96
6.025,47.425,0,0.96
6.025,47.45,0,0.96
6.025,47.475,0,0.94
6.025,47.5,0,0.94
6.025,47.525,0,0.96
6.025,47.55,0,1.19
6.025,47.575,0,0.47
6.025,47.6,0,0.47
6.025,47.625,0,0.96
6.025,47.65,0,0.88
6.025,47.675,0,0.88
6.025,47.7,0,0.94
6.025,47.725,0,0.94
6.025,47.75,0,0.88
6.025,47.775,0,0.88
6.025,47.8,0,0.47
6.05,45.8,0,0.86
6.05,45.825,0,0.86
6.05,45.85,0,0.99
6.05,45.875,0,0.86
6.05,45.9,0,0.94
6.05,45.925,0,0.47
6.05,45.95,0,0.86
6.05,45.975,0,0.86
6.05,46,0,1.05
6.05,46.025,0,1.05
6.05,46.05,0,0.86
6.05,46.075,0,0.86
6.05,46.1,0,0.86
6.05,46.125,0,1.05
6.05,46.15,0,0.94
6.05,46.175,0,0.86
6.05,46.2,0,0.94
6.05,46.225,0,0.86
6.05,46.25,0,0.86
6.05,46.275,0,0.88
6.05,46.3,0,0.94
6.05,46.325,0,0.86
6.05,46.35,0,0.94
6.05,46.375,0,0.96
6.05,46.4,0,1.11
6.05,46.425,0,0.96
6.05,46.45,0,1.11
6.05,46.475,0,0.96
6.05,46.5,0,0.96
6.05,46.525,0,0.96
6.05,46.55,0,0.94
6.05,46.575,0,0.96
6.05,46.6,0,0.96
6.05,46.625,0,0.96
6.05,46.65,0,1.11
6.05,46.675,0,0.96
6.05,46.7,0,0.47
6.05,46.725,0,0.96
6.05,46.75,0,0.47
